   	-> LOADING ARTICLES... <- 20230209_151103
   	-> ARTICLES LOADED... <- 20230209_151252
   	-> SENDING ARTICLES TO SAGE X3 <- 20230209_151304
Checking connection to SAGE X3... 20230209_151304
1 Art OK : 20230209_151506
1 Art OK : 20230209_151506
1 Art OK : 20230209_151507
1 Art OK : 20230209_151507
1 Art OK : 20230209_151507
1 Art OK : 20230209_151508
1 Art OK : 20230209_151508
1 Art OK : 20230209_151508
1 Art OK : 20230209_151509
1 Art OK : 20230209_151509
1 Art OK : 20230209_151509
1 Art OK : 20230209_151510
1 Art OK : 20230209_151510
1 Art OK : 20230209_151510
1 Art OK : 20230209_151511
1 Art OK : 20230209_151511
1 Art OK : 20230209_151511
1 Art OK : 20230209_151511
1 Art OK : 20230209_151512
1 Art OK : 20230209_151512
1 Art OK : 20230209_151512
1 Art OK : 20230209_151513
1 Art OK : 20230209_151513
1 Art OK : 20230209_151513
1 Art OK : 20230209_151514
1 Art OK : 20230209_151514
1 Art OK : 20230209_151514
1 Art OK : 20230209_151515
1 Art OK : 20230209_151515
1 Art OK : 20230209_151515
1 Art OK : 20230209_151515
1 Art OK : 20230209_151516
1 Art OK : 20230209_151516
1 Art OK : 20230209_151516
1 Art OK : 20230209_151517
1 Art OK : 20230209_151517
1 Art OK : 20230209_151517
1 Art OK : 20230209_151518
1 Art OK : 20230209_151518
1 Art OK : 20230209_151518
1 Art OK : 20230209_151519
1 Art OK : 20230209_151519
1 Art OK : 20230209_151519
1 Art OK : 20230209_151520
1 Art OK : 20230209_151520
1 Art OK : 20230209_151521
1 Art OK : 20230209_151521
1 Art OK : 20230209_151522
1 Art OK : 20230209_151522
1 Art OK : 20230209_151522
1 Art OK : 20230209_151523
1 Art OK : 20230209_151523
1 Art OK : 20230209_151524
1 Art OK : 20230209_151524
1 Art OK : 20230209_151524
1 Art OK : 20230209_151525
1 Art OK : 20230209_151525
1 Art OK : 20230209_151526
1 Art OK : 20230209_151526
1 Art OK : 20230209_151526
1 Art OK : 20230209_151527
1 Art OK : 20230209_151527
1 Art OK : 20230209_151527
1 Art OK : 20230209_151528
1 Art OK : 20230209_151528
1 Art OK : 20230209_151528
1 Art OK : 20230209_151529
1 Art OK : 20230209_151529
1 Art OK : 20230209_151529
1 Art OK : 20230209_151530
1 Art OK : 20230209_151530
1 Art OK : 20230209_151530
1 Art OK : 20230209_151531
1 Art OK : 20230209_151531
1 Art OK : 20230209_151532
1 Art OK : 20230209_151532
1 Art OK : 20230209_151532
1 Art OK : 20230209_151533
1 Art OK : 20230209_151533
1 Art OK : 20230209_151533
1 Art OK : 20230209_151534
1 Art OK : 20230209_151534
1 Art OK : 20230209_151534
1 Art OK : 20230209_151535
1 Art OK : 20230209_151535
1 Art OK : 20230209_151536
1 Art OK : 20230209_151536
1 Art OK : 20230209_151536
1 Art OK : 20230209_151537
1 Art OK : 20230209_151537
1 Art OK : 20230209_151538
1 Art OK : 20230209_151538
1 Art OK : 20230209_151538
1 Art OK : 20230209_151539
1 Art OK : 20230209_151539
1 Art OK : 20230209_151539
1 Art OK : 20230209_151540
1 Art OK : 20230209_151540
1 Art OK : 20230209_151540
1 Art OK : 20230209_151541
1 Art OK : 20230209_151541
1 Art OK : 20230209_151541
1 Art OK : 20230209_151542
1 Art OK : 20230209_151542
1 Art OK : 20230209_151543
1 Art OK : 20230209_151543
1 Art OK : 20230209_151543
1 Art OK : 20230209_151543
1 Art OK : 20230209_151544
1 Art OK : 20230209_151544
1 Art OK : 20230209_151544
1 Art OK : 20230209_151545
1 Art OK : 20230209_151545
1 Art OK : 20230209_151545
1 Art OK : 20230209_151546
1 Art OK : 20230209_151546
1 Art OK : 20230209_151546
1 Art OK : 20230209_151547
1 Art OK : 20230209_151547
1 Art OK : 20230209_151547
1 Art OK : 20230209_151548
1 Art OK : 20230209_151548
1 Art OK : 20230209_151548
1 Art OK : 20230209_151549
1 Art OK : 20230209_151549
1 Art OK : 20230209_151549
1 Art OK : 20230209_151549
1 Art OK : 20230209_151550
1 Art OK : 20230209_151550
1 Art OK : 20230209_151550
1 Art OK : 20230209_151551
1 Art OK : 20230209_151551
1 Art OK : 20230209_151551
1 Art OK : 20230209_151552
1 Art OK : 20230209_151552
1 Art OK : 20230209_151552
1 Art OK : 20230209_151553
1 Art OK : 20230209_151553
1 Art OK : 20230209_151553
1 Art OK : 20230209_151554
1 Art OK : 20230209_151554
1 Art OK : 20230209_151554
1 Art OK : 20230209_151555
1 Art OK : 20230209_151555
1 Art OK : 20230209_151555
1 Art OK : 20230209_151555
1 Art OK : 20230209_151556
1 Art OK : 20230209_151556
1 Art OK : 20230209_151556
1 Art OK : 20230209_151557
1 Art OK : 20230209_151557
1 Art OK : 20230209_151557
1 Art OK : 20230209_151558
1 Art OK : 20230209_151558
1 Art OK : 20230209_151558
1 Art OK : 20230209_151558
1 Art OK : 20230209_151559
1 Art OK : 20230209_151559
1 Art OK : 20230209_151559
1 Art OK : 20230209_151600
1 Art OK : 20230209_151600
1 Art OK : 20230209_151600
1 Art OK : 20230209_151601
1 Art OK : 20230209_151601
1 Art OK : 20230209_151601
1 Art OK : 20230209_151601
1 Art OK : 20230209_151602
1 Art OK : 20230209_151602
1 Art OK : 20230209_151603
1 Art OK : 20230209_151603
1 Art OK : 20230209_151603
1 Art OK : 20230209_151604
1 Art OK : 20230209_151604
1 Art OK : 20230209_151604
1 Art OK : 20230209_151604
1 Art OK : 20230209_151605
1 Art OK : 20230209_151605
1 Art OK : 20230209_151605
1 Art OK : 20230209_151606
1 Art OK : 20230209_151606
1 Art OK : 20230209_151606
1 Art OK : 20230209_151606
1 Art OK : 20230209_151607
1 Art OK : 20230209_151607
1 Art OK : 20230209_151607
1 Art OK : 20230209_151608
1 Art OK : 20230209_151608
1 Art OK : 20230209_151608
1 Art OK : 20230209_151608
1 Art OK : 20230209_151609
1 Art OK : 20230209_151609
1 Art OK : 20230209_151609
1 Art OK : 20230209_151610
1 Art OK : 20230209_151610
1 Art OK : 20230209_151610
1 Art OK : 20230209_151611
1 Art OK : 20230209_151611
1 Art OK : 20230209_151611
1 Art OK : 20230209_151611
1 Art OK : 20230209_151612
1 Art OK : 20230209_151612
1 Art OK : 20230209_151613
1 Art OK : 20230209_151613
1 Art OK : 20230209_151614
1 Art OK : 20230209_151614
1 Art OK : 20230209_151614
1 Art OK : 20230209_151614
1 Art OK : 20230209_151615
1 Art OK : 20230209_151615
1 Art OK : 20230209_151615
1 Art OK : 20230209_151616
1 Art OK : 20230209_151616
1 Art OK : 20230209_151616
1 Art OK : 20230209_151617
1 Art OK : 20230209_151617
1 Art OK : 20230209_151617
1 Art OK : 20230209_151618
1 Art OK : 20230209_151618
1 Art OK : 20230209_151618
1 Art OK : 20230209_151618
1 Art OK : 20230209_151619
1 Art OK : 20230209_151619
1 Art OK : 20230209_151620
1 Art OK : 20230209_151620
1 Art OK : 20230209_151620
1 Art OK : 20230209_151620
1 Art OK : 20230209_151621
1 Art OK : 20230209_151621
1 Art OK : 20230209_151622
1 Art OK : 20230209_151622
1 Art OK : 20230209_151622
1 Art OK : 20230209_151623
1 Art OK : 20230209_151623
1 Art OK : 20230209_151623
1 Art OK : 20230209_151624
1 Art OK : 20230209_151624
1 Art OK : 20230209_151625
1 Art OK : 20230209_151625
1 Art OK : 20230209_151625
1 Art OK : 20230209_151626
1 Art OK : 20230209_151626
1 Art OK : 20230209_151626
1 Art OK : 20230209_151627
1 Art OK : 20230209_151627
1 Art OK : 20230209_151627
1 Art OK : 20230209_151628
1 Art OK : 20230209_151628
1 Art OK : 20230209_151628
1 Art OK : 20230209_151629
1 Art OK : 20230209_151629
1 Art OK : 20230209_151629
1 Art OK : 20230209_151630
1 Art OK : 20230209_151630
1 Art OK : 20230209_151630
1 Art OK : 20230209_151631
1 Art OK : 20230209_151631
1 Art OK : 20230209_151631
1 Art OK : 20230209_151632
1 Art OK : 20230209_151632
1 Art OK : 20230209_151632
1 Art OK : 20230209_151633
1 Art OK : 20230209_151633
1 Art OK : 20230209_151633
1 Art OK : 20230209_151634
1 Art OK : 20230209_151634
1 Art OK : 20230209_151635
1 Art OK : 20230209_151635
1 Art OK : 20230209_151635
1 Art OK : 20230209_151635
